feature,importance,fold,seed
T2FTM_min_ALL,0.0,2.0,42.0
T2FTM_min_vsT2_ALL,0.2,2.0,42.0
T2FTR_max_ALL,0.0,2.0,42.0
T2FTR_max_vsT2_ALL,0.0,2.0,42.0
T2FTR_mean_ALL,0.0,2.0,42.0
T2FTR_mean_vsT2_ALL,0.0,2.0,42.0
T2FTR_median_ALL,0.0,2.0,42.0
T2FTR_median_vsT2_ALL,0.0,2.0,42.0
T2FTR_min_ALL,0.0,2.0,42.0
T2FTR_min_vsT2_ALL,0.0,2.0,42.0
T2FTrate_max_ALL,0.0,2.0,42.0
T2FTrate_max_vsT2_ALL,0.0,2.0,42.0
T2FTrate_mean_ALL,0.0,2.0,42.0
T2FTrate_mean_vsT2_ALL,0.0,2.0,42.0
T2FTrate_median_ALL,0.0,2.0,42.0
T2FTrate_median_vsT2_ALL,0.0,2.0,42.0
T2FTrate_min_ALL,0.0,2.0,42.0
T2FTrate_min_vsT2_ALL,0.0,2.0,42.0
T2Fgrate3_max_ALL,0.0,2.0,42.0
T2Fgrate3_max_vsT2_ALL,0.0,2.0,42.0
T2Fgrate3_mean_ALL,0.0,2.0,42.0
T2Fgrate3_mean_vsT2_ALL,0.4,2.0,42.0
T2Fgrate3_median_ALL,0.0,2.0,42.0
T2Fgrate3_median_vsT2_ALL,0.2,2.0,42.0
T2Fgrate3_min_ALL,0.0,2.0,42.0
T2Fgrate3_min_vsT2_ALL,0.0,2.0,42.0
T2Fgrate_max_ALL,0.0,2.0,42.0
T2Fgrate_max_vsT2_ALL,4.0,2.0,42.0
T2Fgrate_mean_ALL,0.0,2.0,42.0
T2Fgrate_mean_vsT2_ALL,10.2,2.0,42.0
T2Fgrate_median_ALL,0.0,2.0,42.0
T2Fgrate_median_vsT2_ALL,2.4,2.0,42.0
T2Fgrate_min_ALL,0.0,2.0,42.0
T2Fgrate_min_vsT2_ALL,2.2,2.0,42.0
T2OR_max_ALL,0.0,2.0,42.0
T2OR_max_vsT2_ALL,0.0,2.0,42.0
T2OR_mean_ALL,0.0,2.0,42.0
T2OR_mean_vsT2_ALL,0.0,2.0,42.0
T2OR_median_ALL,0.0,2.0,42.0
T2OR_median_vsT2_ALL,0.0,2.0,42.0
T2OR_min_ALL,0.0,2.0,42.0
T2OR_min_vsT2_ALL,0.0,2.0,42.0
T2ORrate_max_ALL,0.0,2.0,42.0
T2ORrate_max_vsT2_ALL,0.0,2.0,42.0
T2ORrate_mean_ALL,0.0,2.0,42.0
T2ORrate_mean_vsT2_ALL,0.6,2.0,42.0
T2ORrate_median_ALL,0.0,2.0,42.0
T2ORrate_median_vsT2_ALL,0.0,2.0,42.0
T2ORrate_min_ALL,0.0,2.0,42.0
T2ORrate_min_vsT2_ALL,0.2,2.0,42.0
T2PF_max_ALL,0.0,2.0,42.0
T2PF_max_vsT2_ALL,0.0,2.0,42.0
T2PF_mean_ALL,0.0,2.0,42.0
T2PF_mean_vsT2_ALL,0.0,2.0,42.0
T2PF_median_ALL,0.0,2.0,42.0
T2PF_median_vsT2_ALL,0.0,2.0,42.0
T2PF_min_ALL,0.0,2.0,42.0
